rooms,area,floor,repaired,terrace,region,district,house_name,builder_name,builder_phone,building_starts,building_ends,installment_pay_month,prepayment_percent,finished_flat,price_per_area,total_price,flat_plan_image_url
1,211.37,0,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,22,30,No,4000000,845480000,"https://service.app.uysot.uz/files/com-12/image/221207-180727-356cce0b-243d-4c40.jpg, https://service.app.uysot.uz/files/com-12/image/221207-180721-aef80a5e-4402-457b.jpg, , "
1,211.37,0,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,12,30,No,27335625,5777931056,not available
1,236.8,1,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,14000000,3315200000,"https://service.app.uysot.uz/files/com-12/image/230616-150321-a2444049-26be-4fda.jpg, https://service.app.uysot.uz/files/com-12/image/230616-150318-6f581579-a3e8-49cb.jpg, , "
1,248.6,2,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,24,30,No,14000000,3480400000,"https://service.app.uysot.uz/files/com-12/image/231004-110523-b497f81d-7ef1-42f0.jpg, https://service.app.uysot.uz/files/com-12/image/231004-110527-287b8dd4-0878-4172.jpg, , "
2,54.25,0,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,50,No,4500000,244125000,not available
2,58.01,10,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12000000,696120000,"https://service.app.uysot.uz/files/com-12/image/230616-164058-96ac0c1e-6239-448b.jpg, https://service.app.uysot.uz/files/com-12/image/230616-164100-01ec3b47-45b8-42e5.jpg, , "
2,59.33,10,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,50,No,12000000,711960000,not available
2,60.0,10,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,50,No,10100000,606000000,not available
2,60.15,1,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,50,No,14000000,842100000,not available
2,61.01,10,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12000000,732120000,"https://service.app.uysot.uz/files/com-12/image/230616-164038-9ffb91f2-139a-45f8.jpg, https://service.app.uysot.uz/files/com-12/image/230616-164035-c7608f8a-2193-4242.jpg, , "
2,61.97,0,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12000000,743640000,"https://service.app.uysot.uz/files/com-12/image/230616-144118-76f3ff23-35a7-4981.jpg, https://service.app.uysot.uz/files/com-12/image/230616-144114-a37c3970-c9e5-445c.png, , "
2,62.0,1,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,14000000,868000000,"https://service.app.uysot.uz/files/com-12/image/230616-144249-5671f3ed-24e2-4e9c.jpg, https://service.app.uysot.uz/files/com-12/image/230616-144245-ac86ae5e-ce7e-479b.jpg, , "
2,62.14,10,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,22,50,No,12000000,745680000,"https://service.app.uysot.uz/files/com-12/image/221207-190448-2e9d98ec-9fbb-47da.jpg, https://service.app.uysot.uz/files/com-12/image/221207-190452-1fcffaf1-ba08-40eb.jpg, , "
2,63.33,1,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,14000000,886620000,"https://service.app.uysot.uz/files/com-12/image/230616-144226-1a8aca2a-c84d-4004.jpg, https://service.app.uysot.uz/files/com-12/image/230616-144228-e098e108-0027-4a80.jpg, , "
2,63.48,10,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,11000000,698280000,"https://service.app.uysot.uz/files/com-12/image/230616-163951-32eafbbd-cd6d-4bea.jpg, https://service.app.uysot.uz/files/com-12/image/230616-163955-2f43d98d-fc3c-48f4.jpg, , "
2,63.95,10,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,50,No,10100000,645895000,not available
2,63.95,10,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12000000,767400000,"https://service.app.uysot.uz/files/com-12/image/230616-164312-b587e747-b00b-4a67.jpg, https://service.app.uysot.uz/files/com-12/image/230616-164507-355b742c-eb5c-423b.jpg, https://service.app.uysot.uz/files/com-12/image/230616-164309-e843fe8d-54c0-471d.jpg, https://service.app.uysot.uz/files/com-12/image/230616-164227-a683a638-e3a7-47f8.jpg"
2,63.95,10,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,50,No,12000000,767400000,not available
2,64.26,2,No,6000000.0,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12000000,790320000,"https://service.app.uysot.uz/files/com-12/image/230616-144538-1b6b5d2c-dbc8-46c2.jpg, https://service.app.uysot.uz/files/com-12/image/230616-144536-30494ff3-00d6-4b42.jpg, , "
2,64.26,5,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,13500000,867510000,"https://service.app.uysot.uz/files/com-12/image/230616-144536-30494ff3-00d6-4b42.jpg, https://service.app.uysot.uz/files/com-12/image/230616-144538-1b6b5d2c-dbc8-46c2.jpg, , "
2,64.54,4,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,22,60,No,13500000,871290000,"https://service.app.uysot.uz/files/com-12/image/221207-185133-a0e92dc9-ecd9-45b2.jpg, https://service.app.uysot.uz/files/com-12/image/221207-185128-8453707f-809b-407b.jpg, , "
2,64.88,9,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12500000,811000000,"https://service.app.uysot.uz/files/com-12/image/230616-145208-44a1d2dc-90a0-4a85.jpg, https://service.app.uysot.uz/files/com-12/image/230616-145205-d565ec97-5a27-44a3.jpg, , "
2,64.88,6,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,13000000,843440000,"https://service.app.uysot.uz/files/com-12/image/230616-144819-69d49d50-889b-4df4.jpg, https://service.app.uysot.uz/files/com-12/image/230616-144817-a82dbe79-6938-436b.jpg, , "
2,64.88,5,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,13500000,875880000,"https://service.app.uysot.uz/files/com-12/image/230616-144522-929cb4f3-4904-42e1.jpg, https://service.app.uysot.uz/files/com-12/image/230616-144526-cb9e3367-fa2d-495e.jpg, , "
2,64.88,2,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,14000000,908320000,"https://service.app.uysot.uz/files/com-12/image/230616-144526-cb9e3367-fa2d-495e.jpg, https://service.app.uysot.uz/files/com-12/image/230616-144522-929cb4f3-4904-42e1.jpg, , "
2,65.54,9,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,18,30,No,12500000,819250000,"https://service.app.uysot.uz/files/com-12/image/230919-143919-03eb848a-a20f-47a3.jpg, https://service.app.uysot.uz/files/com-12/image/230919-154745-de3d7198-2bd7-463d.jpg, , "
2,66.18,9,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12500000,827250000,"https://service.app.uysot.uz/files/com-12/image/230616-145136-49b25c19-0e7c-48be.jpg, https://service.app.uysot.uz/files/com-12/image/230616-145141-1ccfd83c-bc8a-4570.jpg, , "
